Dish,confidence
pad thai,0.98913926
cathay house,0.98913926
bbq pork,0.98913926
foo yong,0.989103727
tsing tao,0.989095594
pork chops,0.989020566
chili oil,0.989020566
thai basil,0.989019857
singapore noodles,0.989019857
red bean,0.989019857
honey walnut shrimp,0.989019857
golden gate,0.988955178
xiao long bao,0.988944455
tom kha,0.988944455
short rib,0.988944455
mandalay bay,0.988944455
grocery store,0.988944455
bamboo shoots,0.988944455
chocolate cake,0.988760882
rock cod,0.988728934
luke warm,0.988566076
hidden gem,0.988566076
dan dan mian,0.988566076
lunch menu,0.988533605
fried noodles,0.988533605
egg noodles,0.988533605
kobe beef,0.988523674
chilean sea bass,0.988447382
creme brulee,0.988407914
hot sour soup,0.988337782
fresh fruit,0.988187958
dim sum items,0.988176462
chop sticks,0.988073203
mango pudding,0.988069893
bell peppers,0.988069893
buffet asia,0.988057059
fried tofu,0.988037422
tuna ceviche,0.987846958
coconut shrimp,0.987648827
ground pork,0.987553462
dim sum carts,0.987553462
black sesame,0.987291684
fellow yelpers,0.987013515
rice porridge,0.986573571
wanton soup,0.986452355
chicken soup,0.98592295
red chili,0.984111174
vanilla ice,0.98234855
waiting area,0.982072995
mapo tofu,0.97913926
china king,0.97913926
happy hour,0.979020566
dining room,0.979020566
dining area,0.979020566
crab rangoons,0.979020566
china poblano,0.979020566
bay area,0.979020566
wor wonton soup,0.979019857
wor won ton soup,0.979019857
crab wontons,0.979019857
thinly sliced,0.978944455
panda express,0.978944455
panang curry,0.978643077
hot mustard,0.978643077
san francisco,0.978566076
pepper steak,0.978523674
massaman curry,0.978451581
green onion pancakes,0.978451581
east coast,0.978447382
beef roll,0.978307361
scallion pancakes,0.978256776
snickerdoodle cookie,0.978189803
steamed fish,0.978187958
big chunks,0.977950218
chinese cultural center,0.977910605
red jade chicken,0.977875072
southern california,0.977735942
lettuce wrap,0.977729153
delivery guy,0.97768436
orange beef,0.977680279
szechuan beef,0.977648827
fried calamari,0.977648827
bar area,0.977648827
typical dim sum,0.977637332
yang chow fried rice,0.977553462
green curry,0.977553462
lan zhou beef noodle soup,0.977517929
green bean,0.977291684
boba tea,0.977291684
beef tenderloin,0.977291684
fried wontons,0.977176682
grilled pork,0.97714323
white sauce,0.977126302
egg drop,0.976866533
chow fun,0.976866533
shrimp tempura roll,0.976809498
years ago,0.976747838
roast duck,0.976747838
egg foo young,0.976747838
black beans,0.976747838
dim sum experience,0.976686764
yun nan,0.976678566
jerk chicken,0.976524163
war won ton soup,0.976452355
ice water,0.976452355
cake noodle,0.976452355
beef ramen,0.976243938
dan dan noodle,0.976216428
hk star,0.975288993
casino floor,0.975062748
teriyaki sauce,0.974494475
liquor license,0.974405023
vegas trip,0.974375072
pretty reasonable,0.974100108
broccoli beef,0.97408916
almond chicken,0.974017929
orange sauce,0.973305285
fried wonton,0.973305285
orange tofu,0.973138569
cafe noodle,0.972336259
chinese noodles,0.972073062
hot peppers,0.972072995
gang pang,0.969642857
crab angels,0.969642857
chile relleno,0.969448052
steaming hot,0.96913926
spice level,0.96913926
jade palace,0.96913926
rou jia mo street sandwich,0.969103727
yi mei,0.969095594
autumn court,0.969095594
jade red chicken,0.969020566
red curry,0.969019857
pork buns,0.969019857
jose andres,0.968951869
lettuce wraps,0.968944455
left overs,0.968944455
kung pow,0.968944455
hong kong,0.968944455
gai lan,0.968944455
banh mi,0.968944455
west valley,0.968913016
string beans,0.968825761
seaweed salad,0.968643077
phoenix palace,0.968643077
chop chop,0.968643077
moo goo gai pan,0.968566076
victorian room,0.968416048
noodle dish,0.968414911
pork chop,0.96840498
customer service,0.968337782
bamboo club,0.968256776
china tango,0.968237476
stinky tofu,0.968225337
lunch rush,0.968187958
conveniently located,0.968069893
fried shrimp,0.968037422
almond cookies,0.968011232
mango sticky rice,0.967910605
zha jiang,0.967905117
shredded pork,0.967672865
gift card,0.967652153
ahi tuna,0.967652153
seating area,0.967648827
dim sum restaurants,0.967637332
dim sum dishes,0.967637332
pupu platter,0.967583743
grand opening,0.967382214
iced teas,0.967350474
shrimp balls,0.967327218
shanghai dumplings,0.967291684
decent dim sum,0.967282002
joyful house,0.967247368
pad kee mao,0.967211835
asian buffet,0.967118171
lotus leaf,0.966903638
pork dumplings,0.966866938
egg foo yung,0.966866533
spring rolls,0.966747838
sesame chicken,0.966642857
orange chicken,0.966642857
sun devil chicken,0.966452355
chicken breast,0.966027271
lee lee,0.966018578
eating dim sum,0.965901606
lao ching hing,0.965619403
tsao's chicken,0.965610552
parking lot,0.965516009
general tsao chicken,0.965366024
beef skewers,0.965366024
braised tofu,0.965244808
lightly fried,0.965008881
large groups,0.964943345
mongolian bbq,0.964869622
emerald chicken,0.964631562
duck bao,0.964410605
sliced beef,0.964375072
large size,0.964176834
udon noodles,0.964017929
portion size,0.963806662
fried banana,0.962902501
shishito peppers,0.962679886
house chicken,0.962304733
crab ragoons,0.959642857
chicken feet,0.959642857
big heng,0.959642857
snicker doodle,0.959448052
salt air margarita,0.95913926
highly recommend,0.95913926
pan fried,0.959019857
dan dan noodles,0.959019857
pot sticker,0.958955178
kim chee,0.958955178
chino bandito,0.958955178
won tons,0.958944455
sam woo,0.958944455
chin chin,0.958944455
pleasantly surprised,0.958825761
kim long,0.958794321
craving dim sum,0.958748397
noodle asia,0.958643077
crispy beef,0.958533605
chicken curry,0.958533605
minute wait,0.958523674
china chili,0.958523674
chef sheridan,0.958225337
san jose,0.958189803
dim sum places,0.958176462
fat choy burger,0.958069893
egg foo yong,0.958051095
baked pork chop rice,0.958039966
szechwan beef noodle soup,0.957875072
soda machine,0.957846958
lemon grass,0.957811425
carnitas taco,0.957811425
large party,0.957803763
thai tea,0.957553462
orange peel chicken,0.957533825
wagyu beef,0.957517929
hot pots,0.957517929
eye contact,0.957509698
sweet sour pork,0.957414422
crying tiger salad,0.957350474
pad se ew,0.957258489
evil jungle princess,0.957162338
shrimp dumplings,0.956866938
las vegas,0.956747838
green onions,0.956747838
noodle house,0.956621988
lunch hour,0.956579041
hunan beef,0.956452355
enoki mushrooms,0.955879886
fried taro,0.955721354
fish fillet,0.95563926
star rating,0.955583206
typical americanized chinese,0.955366024
pretty basic,0.955366024
lunch crowd,0.955366024
online ordering,0.954943345
dim sum fix,0.954469732
fish head,0.954223723
poor quality,0.953743513
beaten path,0.953397181
egg noodle,0.952673727
tempura shrimp,0.952072995
super salty,0.952072995
kway teow,0.952058326
hainan chicken,0.951557059
crispy honey shrimp,0.951262185
highly recommended,0.950823698
thai house,0.950627024
al dente,0.949448052
perfectly cooked,0.94913926
kung fu,0.94913926
green onion pancake,0.94913926
dipping sauces,0.94913926
asian cafe express,0.94913926
egg flower soup,0.949019857
nee house,0.948944455
kung pao,0.948825761
speak english,0.948643077
sesame balls,0.948643077
east valley,0.948643077
bell pepper,0.948643077
lunch combo,0.948307361
pong pong,0.948256776
kj kitchen,0.948256776
bachelorette party,0.948189803
golden buddha,0.948069893
noodle dishes,0.948037422
tasting menu,0.94768436
jade chicken,0.947680279
cash register,0.947652153
dim sum cart,0.947517929
regular menu,0.947414422
beef tendon,0.94735319
red pepper flakes,0.947350474
stir fry paradise,0.947171902
bahn mi,0.947121706
roasted pork,0.947057279
general tsos chicken,0.946832419
lunch combos,0.946809498
pho kim long,0.94669248
pu pu,0.946678566
sesame noodles,0.946579041
samba strip roll,0.946571758
pork rinds,0.946571758
shrimp toast,0.946310381
shrimp dumpling,0.946243938
thai beef salad,0.946216428
scrambled egg,0.946216428
cumin lamb,0.946142927
singapore rice noodles,0.946078681
multiple times,0.946078681
overly sweet,0.945886795
beef cubes,0.945366024
red peppers,0.945244808
specialty rolls,0.945008881
chicken nuggets,0.945008881
asian cuisines,0.945008881
ga hyang,0.944705117
braised pork,0.944557059
steam rice,0.944176834
rare beef,0.944100108
beef jerky,0.944017929
slot machines,0.94373538
standard dim sum,0.943065625
online menu,0.943034534
pepper beef,0.942673727
wonton noodles,0.942375401
beef tripe,0.942223723
beef pies,0.942223723
long beans,0.942104086
strip mall,0.93913926
fish balls,0.93913926
china mama,0.93913926
big wong,0.93913926
tiger shrimp mango salad,0.939103727
orient house,0.939103727
china chan,0.939103727
pot stickers,0.938944455
pei wei,0.938944455
ping pang,0.938825761
short ribs,0.938643077
soup dumplings,0.938533605
chicken teriyaki,0.938533605
taste buds,0.938524383
milk tea,0.938523674
jerk fried rice,0.938457185
wo fat,0.938416048
serve dim sum,0.938332758
tuna tataki,0.938189803
honey chicken,0.938037422
pan asia,0.938003925
chili peppers,0.938003925
string bean,0.937968392
turnip cake,0.937811425
large portion,0.937803763
grilled cheese,0.937729153
moo shoo,0.937420635
soda fountain,0.937350474
seafood soup,0.937344416
war wonton soup,0.937291684
dim sum menu,0.937042094
piping hot,0.936747838
spicy tuna rolls,0.936573571
spicy level,0.936573571
tangerine beef,0.936475276
hoi nam chicken,0.936452355
green valley,0.936429784
pork dumpling,0.936215965
yellowtail sashimi,0.936142927
beef brisket,0.935886795
coconut rice,0.935597738
wednesday night,0.935244808
teriyaki bowl,0.935244808
dozen times,0.935062748
beef rendang,0.935008881
pretty expensive,0.934994568
homemade noodles,0.934866024
barbecue pork,0.934508881
generous portions,0.934492133
great wall,0.933592977
oxtail soup,0.933578141
delivery charge,0.933366024
veggie house,0.933228421
pretty pricey,0.93309699
bourbon chicken,0.932925547
star review,0.932743733
beef noodle stew,0.932223723
jerk rice,0.931468529
chile sauce,0.93118924
lemon sauce,0.931105679
fried foods,0.930750349
beef noodle soup,0.93
pay extra,0.929980719
garlic sauce,0.929496403
shabu shabu,0.929448052
ong choy,0.929264479
ma po tofu,0.92913926
late night,0.92913926
thai style noodle house,0.929103727
china magic noodle house,0.929103727
shiu mai,0.928944455
har gow,0.928944455
months ago,0.928643077
curry chicken,0.928533605
crispy noodles,0.928533605
large group,0.928523674
hot tea,0.928457185
chino bandido,0.928447382
orange peel,0.928416833
low prices,0.928307361
szechwan palace,0.928189803
custard buns,0.928038153
sweet sour sauce,0.927910605
beef stew noodle soup,0.927910605
egg custard,0.927884522
flat noodles,0.927875072
pretty darn,0.927388339
shaved snow,0.927350474
viva china taco,0.927208501
weeks ago,0.92720832
spicy eggplant,0.927188177
fried dumplings,0.927118171
china grill,0.926763774
roasted duck,0.926747838
sushi roll,0.926579041
california rolls,0.926571758
dim sum joint,0.926496844
dragon roll,0.926310381
chow main,0.926216428
bbq duck,0.925739712
spicy mustard,0.925601951
sliced pork,0.925601951
numerous times,0.925566345
long story short,0.924988317
hue thai,0.924988317
black pepper sauce,0.924914202
honey walnut prawns,0.924793511
fried flounder,0.924508881
large portions,0.924492133
reasonable prices,0.924492133
dim sum sampler,0.924469732
days ago,0.923852981
phone number,0.923819668
veggie dumplings,0.923801315
chinese cuisine,0.923474283
huge portions,0.923156637
smaller portions,0.923008881
spring mtn,0.922912343
general tao chicken,0.922223723
fried squid,0.922000051
pretty typical,0.9212331
started coming,0.921071053
noodle bar,0.920271562
vermicelli noodles,0.920227702
chinese restaurants,0.92
sweet potato fries,0.919642857
white meat,0.919377
tom yum soup,0.919377
spicy tuna,0.919377
nice touch,0.91913926
egg fu yung,0.919103727
driven past,0.918955178
pf changs,0.918825761
garlic chicken,0.918533605
fried chicken wings,0.918533605
big portions,0.918533605
short rib grilled cheese,0.918448272
wonton noodle soup,0.918337782
main courses,0.918256776
sun asian kitchen,0.918038153
panda expresses,0.918038153
pretty decent,0.918037422
onion rings,0.918011232
mini pot,0.91791875
super cheap,0.917648827
air conditioning,0.917420635
coconut curry,0.917327218
couple times,0.917188177
indian school,0.916945459
dimly lit,0.91692168
ala carte,0.91692168
shu mai,0.91689941
thai coconut curry,0.916832419
saturday night,0.916198084
friday night,0.916198084
normal dim sum,0.915535306
vegetarian options,0.915475656
wide noodles,0.915366024
pretty packed,0.914994568
live seafood,0.914866024
bit pricey,0.914623032
dim sum platter,0.914469732
crispy duck,0.914410605
braised beef,0.914375072
kung pau chicken,0.914223723
custard tarts,0.914066278
located inside,0.913356798
lunch break,0.913167524
breakfast buffet,0.913167524
noodle pot,0.913138569
beijing beef,0.913034534
general tso chicken,0.912969977
san gabriel valley,0.912718046
traditional dim sum,0.912607955
shrimp cocktail,0.912223723
pig ears,0.912073825
singapore noodle,0.911038513
shaved noodles,0.910694311
cake noodles,0.910040105
china jade,0.91000548
red beans,0.909881864
beef chow fun,0.909496403
thai ice tea,0.909377
sizzling rice soup,0.909019857
tom yum goong,0.908955178
green bean tempura,0.908955178
rock shrimp tempura,0.908944455
crispy gau gee,0.908877482
snap peas,0.908728934
super busy,0.908533605
long line,0.908533605
yelp reviews,0.908524383
beef stew,0.908524383
open late,0.908523674
steamed veggies,0.908470728
low price,0.908307361
high school,0.908003925
steamed pork buns,0.907910605
mouth watering,0.907846958
music playing,0.907811425
buffet line,0.907760484
extensive menu,0.90768436
cheese puffs,0.907669935
poor service,0.907118171
baby bok choy,0.90689941
red pepper,0.906826058
roasted pork belly,0.906809498
ramen noodles,0.906571295
steamed dim sum,0.906496844
tad bit,0.90644128
stomach ache,0.906375993
asian bistro,0.906310381
pork bun,0.906243938
chef kenny,0.906142927
hair salon,0.905879886
rice cakes,0.905851262
wonton chips,0.905566345
overly salty,0.905566345
sweet n sour sauce,0.90543127
cucumber salad,0.905288993
generals chicken,0.905244808
soft tofu,0.904866024
king crab,0.904744808
beef balls,0.904100108
hot wok,0.90403303
serving size,0.903852981
lamb skewers,0.903839021
rice bowl,0.903582948
won ton noodle soup,0.90346616
staff members,0.903369205
thai restaurants,0.903305285
dim sum fare,0.902607955
pet peeve,0.902058326
steamed broccoli,0.901455477
negative reviews,0.900911805
mushu pork,0.900227702
extremely salty,0.899039962
sweet sour,0.899019857
pu pu platter,0.898944455
garlic pepper,0.89881629
date night,0.898230169
authentic dim sum,0.89791635
crispy skin,0.897884522
server brought,0.897760484
rib eye,0.897652153
soup base,0.897553462
pretty standard,0.897533825
pho dac biet,0.897374554
curry sauce,0.897344416
garlic eggplant,0.897326058
orange slices,0.897079554
chinese broccoli,0.896866938
slightly sweet,0.896809498
late lunch,0.896579041
asian diner,0.896429784
mongolian grill,0.896218874
favorite dim sum place,0.896216428
krazy buffet,0.896142857
private room,0.895921515
mekong plaza,0.895737912
jen red pork,0.895163796
salted fish,0.895062748
menu items,0.894944925
visiting vegas,0.894866024
price tag,0.894762072
wah kee,0.894405023
dragon palace,0.894356579
spicy chicken,0.894176899
sweet sour chicken,0.89408916
family members,0.894045912
sized portions,0.894025519
big deal,0.893713941
order online,0.893706655
taco bell,0.893696015
quick bite,0.893356798
lacked flavor,0.893356798
noodle soups,0.893028149
chocolate mousse,0.892839399
rave reviews,0.892003637
dim sum offerings,0.891542381
cooked perfectly,0.891432263
size portion,0.891401832
pretty slow,0.8912331
shrimp ball,0.89118924
dw fried rice,0.89118924
handmade noodles,0.890227702
house special,0.889496403
family owned,0.88913926
pho dac,0.889103727
steamed buns,0.889019857
soft serve ice cream,0.888944455
sushi bar,0.888881525
super sweet,0.888844416
black bean sauce,0.888814328
fellow yelper,0.888728934
won ton soup,0.888456477
boiled egg,0.888051776
chinese buffets,0.888037422
china garden,0.88800548
hk style,0.888003925
super hungry,0.887931597
white meat chicken,0.887414422
honey shrimp,0.887281539
parking spot,0.887079554
yamato roll,0.886830606
spicy korean,0.886571295
pretty quick,0.885910624
high prices,0.885371494
dirt cheap,0.885265669
wait staff,0.885226765
tasted weird,0.885118183
almond pudding,0.884916048
dining options,0.884866889
spicy kick,0.884866024
gas station,0.884672338
yellowtail taquitos,0.884384774
shanghai noodles,0.883928994
generous portion,0.883799274
sunday afternoon,0.883696015
totally worth,0.88365282
fried shrimp balls,0.883118183
affordable prices,0.882866889
charbroiled pork,0.882459017
sesame noodle,0.882104086
regular dim sum,0.882012717
egg custard tarts,0.882001501
green bell pepper,0.881865876
fried bread,0.881468529
write reviews,0.881262185
jumbo shrimp,0.88118924
fried bananas,0.88118924
choy sum,0.881100969
health code violations,0.881013188
jade red chicken quesadilla,0.880725388
wheat noodles,0.880227702
sriracha sauce,0.880047797
beef slices,0.880040105
egg fu young,0.879103727
pickled mustard greens,0.878955178
salt pepper pork chops,0.878731401
cuban black beans,0.878416048
phoenix area,0.878361068
outdoor seating,0.878350555
small portion,0.87768436
room temperature,0.877246349
booming spot,0.876985521
moo shu,0.87689941
egg tarts,0.876841874
red snapper,0.876830606
mung bean,0.876830606
noodle bowl,0.876136869
tien wong,0.875905643
super yummy,0.875659391
steamed dumplings,0.87545425
fish filet,0.875364211
great fried rice,0.874930205
chinese hot,0.874930205
blah blah blah,0.874797045
beijing noodle cafe,0.874793511
ordering process,0.874762072
great prices,0.874275954
desert jade,0.874029623
glass noodles,0.873928994
pretty tasty,0.873886478
usual dim sum,0.873867921
chicken katsu,0.87285746
extra spicy,0.871918897
ox tongue,0.871472338
orange county,0.871247081
long wongs,0.870658328
dim lighting,0.87036735
pork intestine,0.870227702
sweet and sour chicken,0.87
price point,0.869208376
dining experience,0.86913926
china town,0.86913926
dim sum selection,0.86910554
asian island,0.868977702
rare steak,0.868913016
ping pang pong,0.868825761
gold coast casino,0.868760882
egg plant,0.868733766
sf bay area,0.868728934
chinese places,0.868037422
long lines,0.86800548
small bowl,0.86768436
huge fan,0.867507742
black pepper chicken,0.867344416
char kway teow,0.867262723
picky eater,0.866590109
plastic utensils,0.866142927
taiwanese beef noodle soup,0.865118183
friendly staff,0.864730582
ice cold,0.864675114
mongolian chicken,0.86466564
high expectations,0.864566565
mee goreng,0.864293777
guilty pleasure,0.864213188
thai restaurant,0.864176899
serves dim sum,0.864151077
raw fish,0.863935284
chicken wing,0.86278269
food express,0.860797272
price range,0.860595929
fine dining,0.85913926
hunan special chicken,0.859105907
asian fusion,0.859020566
crab cakes,0.858967018
cart ladies,0.858728934
thai place,0.858481883
duck tongue,0.858075233
dark meat,0.858030008
main dishes,0.857188177
black sesame glaze,0.856830606
pretty solid,0.856742408
steer clear,0.856375993
thai iced tea,0.856317129
pretty busy,0.855910624
pretty bland,0.855910624
signature dish,0.855828427
crispy spicy eggplant,0.855760484
flat rice noodles,0.855601951
ginger sauce,0.855071295
fried pork chop,0.855071295
steamed bbq pork buns,0.854933895
large place,0.854930205
dim sum brunch,0.854532188
dim sum houses,0.854469732
preserved egg,0.854310381
heat level,0.854187886
menu online,0.853928994
hunan chicken,0.853593501
super nice,0.853366733
house special chicken,0.85308938
mei fun,0.852980338
char kway,0.852856463
szechuan chicken,0.852636869
pretty fast,0.852375401
long ago,0.852104086
pepper sauce,0.852097738
viva china,0.850125848
won ton,0.848944455
dim sum spot,0.848510302
hot sour,0.848467909
veggie spring rolls,0.848414202
noodle exchange,0.848321008
dim sums,0.848038153
dim sum options,0.847397332
dim sum choices,0.847397332
absolutely amazing,0.847326058
asian restaurants,0.847188177
chinese joint,0.847118171
large bowl,0.847099813
chain restaurants,0.846786927
brown or white rice,0.846573571
steamed bbq pork bun,0.846519693
honey seared chicken,0.846208405
corn soup,0.845676834
chinese joints,0.845676834
combination pho,0.845118183
crab ragoon,0.844938714
chicken hot,0.844930205
noodle bowls,0.844897115
great service,0.844772137
hot oil,0.84403303
mongolian bbq station,0.843912966
hibachi grill,0.84384602
fresh ingredients,0.84365282
tom ka,0.843630606
gau gee mein,0.843262185
pickled veggies,0.843075714
mu shu chicken,0.843011041
huge portion,0.84294887
food prepared,0.842902427
previous reviews,0.842591727
reasonable price,0.842247546
chinese soup,0.842073062
hainanese chicken,0.841626992
health dept,0.841498095
nice crunch,0.841262185
long drive,0.839882086
decently priced,0.838980454
lo mein,0.838944455
clever koi,0.838900788
mixed vegetables,0.838566209
happy hour specials,0.838187958
traditional chinese,0.838037422
wide selection,0.83789618
thai places,0.837636869
pretty cool,0.837099813
dim sum joints,0.837078427
yellow tail,0.837062267
bbq pork bun,0.83698041
diablo chicken,0.836929981
small portions,0.836866938
oolong tea,0.836830606
entire meal,0.836826058
shrimp w lobster sauce,0.836573571
spare ribs in black bean sauce,0.836452355
thai dynamite,0.836310381
sing high,0.836168684
moo goo,0.835542927
pretty quickly,0.835371494
super friendly,0.835226765
noodle place,0.835158901
including tax,0.835113535
sunday night,0.835036391
truffle oil,0.834938714
debit card,0.834672338
shredded beef,0.834639238
salt pepper chicken wings,0.834382662
spicy sauce,0.834275954
gang pang chicken,0.834223723
monday night,0.83383358
pretty average,0.83350529
super fast,0.833239916
birthday dinner,0.833175114
lemongrass chicken,0.83214039
samba rolls,0.83000548
kung pow chicken,0.82996616
pan fried noodles,0.829377
kung poa,0.829103727
egg tart,0.828977702
started eating,0.828826058
item combo,0.828792453
shopping plaza,0.828728934
pork belly blt,0.828556302
fairly priced,0.82843531
super tender,0.828033605
main dish,0.82768436
chinese takeout,0.827344416
snow pea,0.827258346
casual dining,0.826968915
shrimp mojo,0.826830606
island malaysian cuisine,0.826830606
love love love,0.826476813
cantonese cuisine,0.82643531
cup of egg drop soup,0.826216428
vietnamese restaurants,0.826167524
crab meat,0.826136869
low mein,0.82595424
noodles were cooked perfectly,0.825366024
pho tai,0.825143077
east mesa,0.824830606
spicy ying nan,0.824825062
chinatown area,0.824675114
flat rice noodle,0.824223723
kung pao shrimp,0.82408916
china star,0.82403303
big portion,0.823485925
steamed chicken,0.82298771
stop eating,0.82294887
chicken with black bean sauce,0.822607955
chive dumplings,0.822124723
dim sum in las vegas,0.822012717
kung po chicken,0.820263314
barbecued pork,0.820227702
red bell pepper,0.820227702
peppered beef,0.81993924
special requests,0.819876795
cream cheese rangoons,0.819545912
high quality,0.819496403
big disappointment,0.819394667
big mistake,0.819155507
family style,0.81913926
chinese brocolli,0.819013314
hotel room,0.818566209
half hour,0.818533605
white or brown rice,0.818414202
chongqing spicy chicken,0.817855907
cheap chinese food,0.817344416
west coast,0.816830606
patio area,0.81675548
spoke english,0.815921515
chinese menu,0.81554163
steamed pork dumplings,0.815366024
locally owned,0.815262368
weekday lunch buffet,0.815062748
order service,0.814930205
weekday lunch,0.814596216
yum yum,0.814566565
small plates,0.813585563
pretty extensive,0.813293276
fairly large,0.813175114
authentic taiwanese,0.812336259
foo young,0.812131458
tender beef,0.811521484
positive reviews,0.811415402
green envy roll,0.810658328
perfectly seasoned,0.810207855
neo tokyo roll,0.809845213
bigger portions,0.809610184
fast forward,0.80914201
ayce sushi,0.808977702
dim sum cafe,0.808352048
picky eaters,0.807747631
ribs in black bean sauce,0.807637332
shrimp wontons,0.807636869
ordered online,0.807636869
imperial palace,0.80748459
sweet and sour pork,0.807
cha siu bao,0.806830606
bf ordered,0.806571295
huge selection,0.80644128
reverse happy hour,0.806131474
crab leg,0.806098786
general tsao's chicken,0.806026178
taiwanese breakfast,0.805921515
bbq ribs,0.805574455
perfect balance,0.805566345
sweet n sour chicken,0.805384382
open kitchen,0.805099813
beef satay,0.804994568
chinese experience,0.804930205
tendon noodle soup,0.804866024
againthis place,0.804786927
left hungry,0.804675114
cheap place,0.804334967
chinatown plaza,0.804045912
dinner combos,0.803831541
chinese buffet,0.803474283
